C. J. Cregg,"C. J. CreggThe West Wing characterAllison Janney as C. J. CreggFirst appearance""Pilot"", September 22, 1999Last appearance""Tomorrow"", May 14, 2006Created byAaron SorkinPortrayed byAllison JanneyIn-universe informationFull nameClaudia Jean CreggNicknameFlamingo (secret service codename)Occupation
White House Press Secretary (Seasons 1–6)
White House Chief of Staff (Seasons 6–7)
FamilyTalmidge Cregg (father)SpouseDanny Concannon (married post-series)Children1NationalityAmerican","Claudia Jean Cregg is a fictional character played by Allison Janney on the American television drama The West Wing. From the beginning of the series in 1999 until the sixth season in 2004, she is White House press secretary in the administration of President Josiah Bartlet. After that, she serves as the president's chief of staff until the end of the show in 2006. The character is partially inspired by real-life White House Press Secretary Dee Dee Myers, who worked as a consultant on the show.
"
The West Wing,"The West WingGenre
Serial drama
Political drama
Created byAaron SorkinStarring
Rob Lowe
Moira Kelly
Dulé Hill
Allison Janney
Richard Schiff
John Spencer
Bradley Whitford
Martin Sheen
Janel Moloney
Stockard Channing
Joshua Malina
Mary McCormack
Jimmy Smits
Alan Alda
Kristin Chenoweth
ComposerW. G. Snuffy WaldenCountry of originUnited StatesOriginal languageEnglishNo. of seasons7No. of episodes154[note 1] (list of episodes)ProductionExecutive producers
Aaron Sorkin
John Wells
Thomas Schlamme
Christopher Misiano
Alex Graves
Lawrence O'Donnell
Peter Noah
CinematographyThomas Del RuthRunning time42 minutesProduction companies
John Wells Productions
Warner Bros. Television
DistributorWarner Bros. Television DistributionReleaseOriginal networkNBCPicture format
NTSC (seasons 1–2)
HDTV 1080i (seasons 3–7)
Audio formatDolby Digital 5.1[1]Original releaseSeptember 22, 1999 (1999-09-22) –May 14, 2006 (2006-05-14)","The West Wing is an American serial political drama television series created by Aaron Sorkin that was originally broadcast on NBC from September 22, 1999, to May 14, 2006.[2] The series is set primarily in the West Wing of the White House, where the Oval Office and offices of presidential senior personnel are located, during the fictitious Democratic administration of President Josiah Bartlet.
"
Allison Janney,"Allison JanneyJanney at the 14th Annual Les Girls Cabaret Benefit in 2014BornAllison Brooks Janney[1] (1959-11-19) November 19, 1959 (age 62)Boston, Massachusetts, U.S.EducationKenyon College (BA)OccupationActressYears active1989–presentPartner(s)Richard Jenik  (2002–2006)AwardsFull list","Allison Brooks Janney (born November 19, 1959)[2] is an American actress. In a career spanning three decades, she is known for her performances across multiple genres of screen and stage. Janney has received various accolades, including an Academy Award, a British Academy Film Award, a Golden Globe Award, and seven Primetime Emmy Awards, in addition to nominations for two Tony Awards.
"
Pilot (The West Wing),"""Pilot""The West Wing episodeEpisode no.Season 1Episode 1Directed byThomas SchlammeWritten byAaron SorkinProduction code475151Original air dateSeptember 22, 1999 (1999-09-22)Guest appearances
Annie Corley as Mary Marsh
Lisa Edelstein as Laurie
Suzy Nakamura as Cathy
Allison Smith as Mallory O'Brien
Marc Grapey as Billy
Janel Moloney as Donna Moss
F. William Parker as Rev. Al Caldwell
Episode chronology


← Previous—

Next →""Post Hoc, Ergo Propter Hoc""
The West Wing (season 1)List of episodes","The White House staff is being called into work early to deal with the press fallout after President Josiah Bartlet has crashed his bicycle into a tree. As the staff try to perform damage control, it is revealed that Deputy Chief of Staff Josh Lyman made a gaffe when, after provocation by Christian activist Mary Marsh on a recent televised debate, quipped ""Lady, the God you pray to is too busy being indicted for tax fraud."" Also, Deputy Communications Director Sam Seaborn spends an evening with Laurie (Lisa Edelstein), unaware that she's a call girl, and then tells Chief of Staff Leo McGarry's daughter, Mallory O'Brien, about it before he knows whose daughter she is.
"
The West Wing (season 7),"The West WingSeason 7DVD box cover. Cast from top to bottom and left to right: President Bartlet, Leo, Charlie, Annabeth, Abbey, Josh, Matt, Donna, Will, Kate, Sen. Vinick,  Toby and C. J.Starring
Alan Alda
Stockard Channing
Kristin Chenoweth
Dulé Hill
Allison Janney
Joshua Malina
Mary McCormack
Janel Moloney
Richard Schiff
John Spencer
Bradley Whitford
Jimmy Smits
Martin Sheen
Country of originUnited StatesNo. of episodes22ReleaseOriginal networkNBCOriginal releaseSeptember 25, 2005 (2005-09-25) –May 14, 2006 (2006-05-14)Season chronology← PreviousSeason 6List of episodes","The seventh and final season of the American political drama television series The West Wing aired in the United States on NBC from September 25, 2005, to May 14, 2006, and consisted of 22 episodes. The series changed time slots from Wednesdays at 9:00 pm to Sundays at 8:00 pm, and the series struggled in its new time slot against ABC's Extreme Makeover: Home Edition and CBS's Cold Case.[1][2]
"
Aaron Sorkin,"Aaron SorkinSorkin in 2016BornAaron Benjamin Sorkin (1961-06-09) June 9, 1961 (age 61)Manhattan, New York City, U.S.OccupationFilm directorscreenwriterplaywrightactorAlma materSyracuse University (BFA)Years active1984–presentSpouseJulia Bingham
​ ​(m. 1996; div. 2005)​Children1","Aaron Benjamin Sorkin (born June 9, 1961)[1] is an American playwright, screenwriter and film director. Born in New York City, he developed a passion for writing at an early age. Sorkin has earned an Academy Award, a BAFTA Award, five Primetime Emmy Awards and three Golden Globes.
"
Allison Janney,"Allison JanneyJanney at the 14th Annual Les Girls Cabaret Benefit in 2014BornAllison Brooks Janney[1] (1959-11-19) November 19, 1959 (age 62)Boston, Massachusetts, U.S.EducationKenyon College (BA)OccupationActressYears active1989–presentPartner(s)Richard Jenik  (2002–2006)AwardsFull list","Allison Brooks Janney (born November 19, 1959)[2] is an American actress. In a career spanning three decades, she is known for her performances across multiple genres of screen and stage. Janney has received various accolades, including an Academy Award, a British Academy Film Award, a Golden Globe Award, and seven Primetime Emmy Awards, in addition to nominations for two Tony Awards.
"
Secret Service code name,No InfoBox,"The United States Secret Service uses code names for U.S. presidents, first ladies, and other prominent persons and locations.[1] The use of such names was originally for security purposes and dates to a time when sensitive electronic communications were not routinely encrypted; today, the names simply serve for purposes of brevity, clarity, and tradition.[2][3] The Secret Service does not choose these names, however. The White House Communications Agency maintains a list that candidates choose from, often choosing ones that resonate with them personally.[4][5]
"
Allison Janney,"Allison JanneyJanney at the 14th Annual Les Girls Cabaret Benefit in 2014BornAllison Brooks Janney[1] (1959-11-19) November 19, 1959 (age 62)Boston, Massachusetts, U.S.EducationKenyon College (BA)OccupationActressYears active1989–presentPartner(s)Richard Jenik  (2002–2006)AwardsFull list","Allison Brooks Janney (born November 19, 1959)[2] is an American actress. In a career spanning three decades, she is known for her performances across multiple genres of screen and stage. Janney has received various accolades, including an Academy Award, a British Academy Film Award, a Golden Globe Award, and seven Primetime Emmy Awards, in addition to nominations for two Tony Awards.
"
The West Wing,"The West WingGenre
Serial drama
Political drama
Created byAaron SorkinStarring
Rob Lowe
Moira Kelly
Dulé Hill
Allison Janney
Richard Schiff
John Spencer
Bradley Whitford
Martin Sheen
Janel Moloney
Stockard Channing
Joshua Malina
Mary McCormack
Jimmy Smits
Alan Alda
Kristin Chenoweth
ComposerW. G. Snuffy WaldenCountry of originUnited StatesOriginal languageEnglishNo. of seasons7No. of episodes154[note 1] (list of episodes)ProductionExecutive producers
Aaron Sorkin
John Wells
Thomas Schlamme
Christopher Misiano
Alex Graves
Lawrence O'Donnell
Peter Noah
CinematographyThomas Del RuthRunning time42 minutesProduction companies
John Wells Productions
Warner Bros. Television
DistributorWarner Bros. Television DistributionReleaseOriginal networkNBCPicture format
NTSC (seasons 1–2)
HDTV 1080i (seasons 3–7)
Audio formatDolby Digital 5.1[1]Original releaseSeptember 22, 1999 (1999-09-22) –May 14, 2006 (2006-05-14)","The West Wing is an American serial political drama television series created by Aaron Sorkin that was originally broadcast on NBC from September 22, 1999, to May 14, 2006.[2] The series is set primarily in the West Wing of the White House, where the Oval Office and offices of presidential senior personnel are located, during the fictitious Democratic administration of President Josiah Bartlet.
"
White House Press Secretary,"White House Press SecretaryLogo of the White House.IncumbentKarine Jean-Pierresince May 13, 2022White House Office of the Press SecretaryAppointerPresident of the United StatesFormationMarch 4, 1929; 93 years ago (1929-03-04)First holderGeorge AkersonSalary$180,000 USD (2021)[1]WebsiteWhite House Press Office Press Briefings","The press secretary is responsible for collecting information about actions and events within the president's administration and issues the administration's reactions to developments around the world. The press secretary interacts with the media and the White House press corps on a daily basis, generally in a daily press briefing.  The press secretary serves by the appointment and at the pleasure of the president of the United States; the office does not require the advice and consent of the United States Senate, however, because of the frequent briefings given to the global media, who in turn inform the public, the position is a prominent non-Cabinet post.
"
